label,message
ham,"Hi Usman, can we meet tomorrow at 6 PM to discuss the project? Check your inbox for details."
spam,Win cash today! Text WIN to 1158 and get entered in the grand draw.
spam,Limited time offer! Get 70% off on premium membership. Act before midnight. Thank you.
ham,The client requested a few changes in the design. I will explain during the call. Thank you.
ham,Happy birthday Bilal! Hope you have a great day. Check your inbox for details.
spam,"Earn money fast from your phone. No skills needed, daily payout available. This message is important."
spam,"Congratulations Noor, you have won a gift card. Claim your reward now by replying YES. Check your inbox for details."
ham,"Hi Noor, can we meet tomorrow at 2 PM to discuss the project?"
ham,"Hi Bilal, can we meet tomorrow at 4:15 PM to discuss the project? Please respond soon."
spam,Your ATM card has been blocked. Submit verification to reactivate immediately. Let me know.
ham,Could you send me the notes from yesterday's NLP lecture?
ham,Reminder: our class presentation is scheduled for Monday at 6 PM. Let me know.
spam,You are our lucky winner for a laptop. Send your code 7358 to receive it.
ham,Your appointment is confirmed for Monday at 2 PM. Please arrive 10 minutes early. Let me know.
ham,The password for the lab computer has been updated by the admin team.
ham,Please submit your project proposal before the deadline. Check your inbox for details.
spam,You are our lucky winner for a holiday package. Send your code 9682 to receive it. Check your inbox for details.
ham,Happy birthday Zara! Hope you have a great day.
spam,You are our lucky winner for a cash reward. Send your code 4268 to receive it. Let me know.
spam,You are our lucky winner for a cash reward. Send your code 2636 to receive it. This message is important.
spam,You are our lucky winner for a tablet. Send your code 3849 to receive it. Let me know.
spam,You are our lucky winner for a free iPhone. Send your code 6710 to receive it.
spam,Win cash today! Text WIN to 7893 and get entered in the grand draw.
spam,You are our lucky winner for a gift card. Send your code 9582 to receive it.
ham,Reminder: our class presentation is scheduled for Friday at 12 PM. Check your inbox for details.
spam,Win cash today! Text WIN to 8007 and get entered in the grand draw. Please respond soon.
ham,Your appointment is confirmed for Wednesday at 10:30 AM. Please arrive 10 minutes early. Please respond soon.
ham,"Hi Noor, can we meet tomorrow at 4:15 PM to discuss the project? Thank you."
spam,"Dear user, your package delivery is pending. Pay a small fee to release shipment. Check your inbox for details."
spam,"Exclusive deal just for you: earn $1,000 from home with no experience required. This message is important."
spam,"Your loan request is pre-approved up to Rs 50,000. Apply now with instant confirmation."
spam,"Congratulations Hassan, you have won a laptop. Claim your reward now by replying YES."
spam,Flash sale! Claim a free smartphone after completing a short form. This message is important.
ham,"Hi Bilal, can we meet tomorrow at 10:30 AM to discuss the project?"
spam,You are our lucky winner for a shopping voucher. Send your code 6257 to receive it. Let me know.
spam,Win cash today! Text WIN to 6169 and get entered in the grand draw.
spam,"Congratulations Zara, you have won a shopping voucher. Claim your reward now by replying YES. Please respond soon."
ham,Your appointment is confirmed for Friday at 6 PM. Please arrive 10 minutes early. This message is important.
spam,"Congratulations Fatima, you have won a laptop. Claim your reward now by replying YES. This message is important."
spam,Alert: unusual login attempt detected. Update your password immediately to secure account. Check your inbox for details.
ham,Your appointment is confirmed for Monday at 4:15 PM. Please arrive 10 minutes early. Thank you.
ham,Your appointment is confirmed for Saturday at 12 PM. Please arrive 10 minutes early. Please respond soon.
ham,Your appointment is confirmed for Monday at 2 PM. Please arrive 10 minutes early.
spam,"Earn money fast from your phone. No skills needed, daily payout available. Let me know."
ham,Your appointment is confirmed for Thursday at 2 PM. Please arrive 10 minutes early. Please respond soon.
spam,You are our lucky winner for a shopping voucher. Send your code 6956 to receive it. Let me know.
spam,Win cash today! Text WIN to 4611 and get entered in the grand draw.
spam,"URGENT: Your account has been selected for a Rs 50,000 bonus. Confirm your details today. Thank you."
ham,Reminder: our class presentation is scheduled for Friday at 12 PM.
spam,"Congratulations! You qualify for a government relief payment of $5,000. Register now. This message is important."
ham,Your appointment is confirmed for Thursday at 12 PM. Please arrive 10 minutes early. Let me know.
spam,Limited time offer! Get 90% off on premium membership. Act before midnight. This message is important.
spam,Flash sale! Claim a free smartphone after completing a short form. Check your inbox for details.
ham,Your appointment is confirmed for Wednesday at 4:15 PM. Please arrive 10 minutes early. Thank you.
spam,"Congratulations Zara, you have won a shopping voucher. Claim your reward now by replying YES."
ham,I am working on the dataset cleaning part and will finish it by tonight.
ham,Your appointment is confirmed for Saturday at 4:15 PM. Please arrive 10 minutes early. Please respond soon.
spam,Limited time offer! Get 70% off on premium membership. Act before midnight. Let me know.
spam,"Congratulations Hassan, you have won a shopping voucher. Claim your reward now by replying YES. Please respond soon."
ham,I have completed the first draft of the report and uploaded it to the shared folder. Thank you.
ham,"Hi Ali, can we meet tomorrow at 4:15 PM to discuss the project? Check your inbox for details."
ham,"Hi Hassan, can we meet tomorrow at 6 PM to discuss the project?"
ham,"Hi Ayesha, can we meet tomorrow at 2 PM to discuss the project?"
spam,You are our lucky winner for a laptop. Send your code 3932 to receive it. Check your inbox for details.
ham,Your appointment is confirmed for Tuesday at 4:15 PM. Please arrive 10 minutes early. Let me know.
spam,You are our lucky winner for a smartwatch. Send your code 3336 to receive it.
ham,Reminder: our class presentation is scheduled for Friday at 9 AM. Let me know.
ham,I am working on the dataset cleaning part and will finish it by tonight. Thank you.
spam,You are our lucky winner for a holiday package. Send your code 4388 to receive it.
spam,"Exclusive deal just for you: earn $2,500 from home with no experience required. Check your inbox for details."
ham,Your appointment is confirmed for Friday at 10:30 AM. Please arrive 10 minutes early. Please respond soon.
ham,"Hi Zara, can we meet tomorrow at 12 PM to discuss the project? Check your inbox for details."
ham,The team meeting has been moved to Friday. Please confirm your availability. Check your inbox for details.
spam,You are our lucky winner for a free iPhone. Send your code 9486 to receive it. Thank you.
ham,The invoice has been received and forwarded to the finance department.
spam,You are our lucky winner for a shopping voucher. Send your code 3992 to receive it. This message is important.
spam,Congratulations! You qualify for a government relief payment of $500. Register now. Please respond soon.
spam,Hot deal: buy one get one free on luxury items. Offer expires soon. Let me know.
spam,Win cash today! Text WIN to 7966 and get entered in the grand draw.
ham,Your appointment is confirmed for Friday at 4:15 PM. Please arrive 10 minutes early. Check your inbox for details.
spam,"Congratulations! You qualify for a government relief payment of $2,500. Register now. Please respond soon."
ham,Your appointment is confirmed for Monday at 4:15 PM. Please arrive 10 minutes early.
spam,"Your loan request is pre-approved up to $1,000. Apply now with instant confirmation. Let me know."
ham,Your appointment is confirmed for Tuesday at 2 PM. Please arrive 10 minutes early. Thank you.
ham,Can you review the assignment before I submit it tonight? Please respond soon.
spam,"Congratulations Noor, you have won a laptop. Claim your reward now by replying YES. Thank you."
spam,You are our lucky winner for a tablet. Send your code 8972 to receive it. Please respond soon.
spam,Special crypto investment plan guarantees high returns in 24 hours. Join today. Check your inbox for details.
spam,Win cash today! Text WIN to 4335 and get entered in the grand draw.
ham,Your appointment is confirmed for Saturday at 2 PM. Please arrive 10 minutes early.
spam,"Congratulations Ali, you have won a cash reward. Claim your reward now by replying YES. Let me know."
spam,"Congratulations! You qualify for a government relief payment of $1,000. Register now. Thank you."
ham,Reminder: our class presentation is scheduled for Monday at 10:30 AM.
spam,Limited time offer! Get 50% off on premium membership. Act before midnight. Let me know.
ham,Your order has been delivered successfully. Thank you for shopping with us. Check your inbox for details.
spam,Win cash today! Text WIN to 8872 and get entered in the grand draw.
ham,The client requested a few changes in the design. I will explain during the call.
ham,"Hi Zara, can we meet tomorrow at 9 AM to discuss the project? Let me know."
ham,"Hi Zara, can we meet tomorrow at 2 PM to discuss the project? Thank you."
ham,Reminder: our class presentation is scheduled for Tuesday at 12 PM. Let me know.
ham,Happy birthday Ahmed! Hope you have a great day. Check your inbox for details.
ham,Reminder: our class presentation is scheduled for Tuesday at 10:30 AM. Thank you.
spam,"Congratulations Fatima, you have won a tablet. Claim your reward now by replying YES."
ham,Your appointment is confirmed for Wednesday at 9 AM. Please arrive 10 minutes early. This message is important.
spam,You are our lucky winner for a laptop. Send your code 7367 to receive it.
ham,"Hi Fatima, can we meet tomorrow at 2 PM to discuss the project?"
spam,You have been nominated for a cash prize. Reply with your full name to proceed.
ham,Happy birthday Zara! Hope you have a great day. Thank you.
spam,Limited time offer! Get 50% off on premium membership. Act before midnight. Please respond soon.
spam,"Dear user, your package delivery is pending. Pay a small fee to release shipment."
ham,"Hi Ali, can we meet tomorrow at 4:15 PM to discuss the project? Please respond soon."
spam,"Congratulations Ayesha, you have won a smartwatch. Claim your reward now by replying YES. Let me know."
ham,Happy birthday Ali! Hope you have a great day. This message is important.
ham,Your appointment is confirmed for Friday at 4:15 PM. Please arrive 10 minutes early. This message is important.
spam,Win cash today! Text WIN to 8054 and get entered in the grand draw.
spam,"Exclusive deal just for you: earn $1,000 from home with no experience required."
ham,Your appointment is confirmed for Monday at 4:15 PM. Please arrive 10 minutes early. Let me know.
ham,The team meeting has been moved to Tuesday. Please confirm your availability. Let me know.
spam,"Your loan request is pre-approved up to $5,000. Apply now with instant confirmation. Please respond soon."
ham,Reminder: our class presentation is scheduled for Thursday at 4:15 PM.
spam,Free gift card available for selected customers. Complete the survey to claim. This message is important.
spam,Win cash today! Text WIN to 7017 and get entered in the grand draw.
ham,"Hi Bilal, can we meet tomorrow at 9 AM to discuss the project? Thank you."
ham,Your appointment is confirmed for Saturday at 12 PM. Please arrive 10 minutes early. Check your inbox for details.
spam,Win cash today! Text WIN to 8772 and get entered in the grand draw.
spam,"Your loan request is pre-approved up to Rs 100,000. Apply now with instant confirmation. Let me know."
ham,Reminder: our class presentation is scheduled for Saturday at 4:15 PM. Let me know.
spam,You are our lucky winner for a gift card. Send your code 4393 to receive it.
spam,"URGENT: Your account has been selected for a Rs 50,000 bonus. Confirm your details today."
ham,"Hi Hassan, can we meet tomorrow at 9 AM to discuss the project? This message is important."
ham,Reminder: our class presentation is scheduled for Wednesday at 6 PM. Let me know.
ham,Your appointment is confirmed for Thursday at 4:15 PM. Please arrive 10 minutes early. Check your inbox for details.
ham,Reminder: our class presentation is scheduled for Friday at 12 PM. Let me know.
ham,"Hi Ahmed, can we meet tomorrow at 4:15 PM to discuss the project?"
spam,Win cash today! Text WIN to 5026 and get entered in the grand draw. Check your inbox for details.
spam,You are our lucky winner for a smartwatch. Send your code 7050 to receive it. Thank you.
spam,"Exclusive deal just for you: earn $2,500 from home with no experience required. Let me know."
ham,Could you send me the notes from yesterday's NLP lecture? Please respond soon.
ham,Reminder: our class presentation is scheduled for Saturday at 12 PM. Check your inbox for details.
spam,Win cash today! Text WIN to 5571 and get entered in the grand draw. Thank you.
spam,You are our lucky winner for a smartwatch. Send your code 9254 to receive it. Thank you.
spam,You are our lucky winner for a tablet. Send your code 3826 to receive it. Let me know.
ham,Happy birthday Ayesha! Hope you have a great day.
spam,"Congratulations Ayesha, you have won a tablet. Claim your reward now by replying YES."
ham,The team meeting has been moved to Wednesday. Please confirm your availability. Thank you.
spam,Win cash today! Text WIN to 6273 and get entered in the grand draw.
ham,Happy birthday Sara! Hope you have a great day. Thank you.
ham,Reminder: our class presentation is scheduled for Tuesday at 2 PM.
spam,"Congratulations Zara, you have won a cash reward. Claim your reward now by replying YES."
spam,Your loan request is pre-approved up to $500. Apply now with instant confirmation. Let me know.
ham,Please find the meeting notes attached and share your feedback when possible. Let me know.
ham,Happy birthday Hassan! Hope you have a great day. This message is important.
spam,Win cash today! Text WIN to 9316 and get entered in the grand draw. This message is important.
spam,"Congratulations Sara, you have won a holiday package. Claim your reward now by replying YES. Thank you."
ham,Your appointment is confirmed for Monday at 2 PM. Please arrive 10 minutes early. Check your inbox for details.
ham,"I will be late due to traffic, but I should reach in about 20 minutes. Let me know."
spam,"Your loan request is pre-approved up to $2,500. Apply now with instant confirmation."
ham,Your appointment is confirmed for Wednesday at 10:30 AM. Please arrive 10 minutes early.
ham,Happy birthday Fatima! Hope you have a great day. This message is important.
spam,Win cash today! Text WIN to 2525 and get entered in the grand draw.
spam,"Congratulations Hassan, you have won a free iPhone. Claim your reward now by replying YES."
spam,"URGENT: Your account has been selected for a $5,000 bonus. Confirm your details today. Check your inbox for details."
spam,Win cash today! Text WIN to 5275 and get entered in the grand draw. Please respond soon.
ham,Your appointment is confirmed for Wednesday at 10:30 AM. Please arrive 10 minutes early. Let me know.
spam,Exclusive deal just for you: earn $500 from home with no experience required. Thank you.
ham,"Hi Fatima, can we meet tomorrow at 4:15 PM to discuss the project?"
ham,Your appointment is confirmed for Tuesday at 10:30 AM. Please arrive 10 minutes early.
ham,Happy birthday Ali! Hope you have a great day. Check your inbox for details.
